row,benchmarkId,armId,repIndex,maxRasterPx,quality,strokeCount,status,wasRetried,e2eMs,ttfbMs,inputTokens,outputTokens,totalTokens,costUsd,imageBytesWebp,rasterW,rasterH,errorMessage
1,benchmark_5,arm_base,1,1024,0.88,11,success,no,5951,3543,414,55,469,0.00000000,12552,1024,741,""
2,benchmark_3,arm_both,1,1536,0.75,18,success,no,25607,5692,415,84,499,0.00000000,20259,1483,1536,""
3,benchmark_4,arm_opt1,1,1536,0.88,300,success,yes,17107,3976,415,44,459,0.00000000,108324,1536,956,""
4,benchmark_5,arm_both,1,1536,0.75,11,success,no,6643,2023,415,61,476,0.00000000,14253,1536,1112,""
5,benchmark_3,arm_base,1,1024,0.88,18,success,no,30771,3854,414,70,484,0.00000000,17163,989,1024,""
6,benchmark_1,arm_opt2,1,1024,0.75,16,success,yes,11148,1660,414,34,448,0.00000000,9732,1024,556,""
7,benchmark_4,arm_opt2,1,1024,0.75,300,success,no,23605,5472,415,47,462,0.00000000,48624,1024,637,""
8,benchmark_5,arm_opt1,1,1536,0.88,11,success,no,5358,2236,415,89,504,0.00000000,19287,1536,1112,""
9,benchmark_2,arm_opt2,1,1024,0.75,22,success,no,7012,3396,414,97,511,0.00000000,7758,1024,628,""
10,benchmark_1,arm_opt1,1,1536,0.88,16,success,yes,2235,1328,414,27,441,0.00000000,20535,1536,834,""
11,benchmark_2,arm_opt1,1,1536,0.88,22,success,no,37397,3308,414,95,509,0.00000000,16002,1536,941,""
12,benchmark_1,arm_both,1,1536,0.75,16,success,no,11473,4141,414,195,609,0.00000000,15096,1536,834,""
13,benchmark_3,arm_opt1,1,1536,0.88,18,success,no,5689,2386,415,88,503,0.00000000,26982,1483,1536,""
14,benchmark_1,arm_base,1,1024,0.88,16,success,no,4889,2108,414,27,441,0.00000000,13671,1024,556,""
15,benchmark_3,arm_opt2,1,1024,0.75,18,success,no,11406,2220,414,85,499,0.00000000,12786,989,1024,""
16,benchmark_5,arm_opt2,1,1024,0.75,11,success,no,2778,1615,414,39,453,0.00000000,9096,1024,741,""
17,benchmark_2,arm_both,1,1536,0.75,22,success,no,3662,1167,414,109,523,0.00000000,11493,1536,941,""
18,benchmark_4,arm_both,1,1536,0.75,300,success,no,5732,2558,415,43,458,0.00000000,73644,1536,956,""
19,benchmark_2,arm_base,1,1024,0.88,22,success,yes,7832,1353,414,130,544,0.00000000,11040,1024,628,""
20,benchmark_4,arm_base,1,1024,0.88,300,success,no,9166,2684,415,74,489,0.00000000,70476,1024,637,""
