row,benchmarkId,armId,repIndex,maxRasterPx,strokeCount,status,wasRetried,e2eMs,ttfbMs,inputTokens,outputTokens,totalTokens,costUsd,imageBytesWebp,rasterW,rasterH,errorMessage
1,benchmark_4,arm_b,3,1024,300,success,no,12534,3321,415,53,468,0,70476,1024,637,
2,benchmark_4,arm_c,2,1536,300,success,no,19499,3394,415,48,463,0,108324,1536,956,
3,benchmark_4,arm_a,1,512,300,success,no,5861,5295,373,49,422,0,33261,512,319,
,,,,,,,,,,,,,,,,,
5,benchmark_1,arm_c,1,1536,16,success,yes,2618,1838,414,27,441,0,20535,1536,834,
6,benchmark_5,arm_c,1,1536,11,success,yes,29113,5433,415,56,471,0,19287,1536,1112,
7,benchmark_5,arm_c,2,1536,11,success,no,4786,2106,415,35,450,0,19287,1536,1112,
8,benchmark_4,arm_c,1,1536,300,success,no,6234,4505,415,49,464,0,108324,1536,956,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
11,benchmark_3,arm_c,1,1536,18,success,yes,11497,4588,415,82,497,0,26982,1483,1536,
12,benchmark_1,arm_c,2,1536,16,success,no,5273,4307,414,27,441,0,20535,1536,834,
13,benchmark_2,arm_c,1,1536,22,success,no,5191,3641,414,84,498,0,16002,1536,941,
14,benchmark_3,arm_b,1,1024,18,success,no,2761,1164,414,90,504,0,17163,989,1024,
15,benchmark_5,arm_a,2,512,11,success,no,1922,1087,412,39,451,0,6567,512,371,
,,,,,,,,,,,,,,,,,
17,benchmark_3,arm_c,3,1536,18,success,yes,18225,2143,415,84,499,0,26982,1483,1536,
18,benchmark_1,arm_c,3,1536,16,success,yes,3791,2758,414,27,441,0,20535,1536,834,
19,benchmark_5,arm_b,2,1024,11,success,yes,10183,1929,414,99,513,0,12552,1024,741,
20,benchmark_1,arm_a,1,512,16,success,yes,16045,1924,412,28,440,0,7308,512,278,
21,benchmark_2,arm_a,1,512,22,success,yes,9181,4879,412,81,493,0,5925,512,314,
22,benchmark_5,arm_a,1,512,11,success,yes,9943,3884,412,104,516,0,6567,512,371,
,,,,,,,,,,,,,,,,,
24,benchmark_3,arm_a,3,512,18,success,yes,32179,2590,412,68,480,0,8928,494,512,
,,,,,,,,,,,,,,,,,
26,benchmark_2,arm_b,2,1024,22,success,yes,8417,6190,374,123,497,0,11040,1024,628,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
33,benchmark_5,arm_a,3,512,11,success,yes,7282,3916,412,116,528,0,6567,512,371,
,,,,,,,,,,,,,,,,,
35,benchmark_1,arm_b,2,1024,16,success,yes,5158,1900,414,28,442,0,13671,1024,556,
36,benchmark_2,arm_c,2,1536,22,success,yes,26126,2879,414,112,526,0,16002,1536,941,
37,benchmark_1,arm_a,2,512,16,success,yes,5315,4413,412,27,439,0,7308,512,278,
38,benchmark_3,arm_c,2,1536,18,success,yes,3230,1777,415,81,496,0,26982,1483,1536,
39,benchmark_5,arm_b,3,1024,11,success,yes,23477,5463,414,49,463,0,12552,1024,741,
40,benchmark_2,arm_b,1,1024,22,success,yes,4417,2895,374,89,463,0,11040,1024,628,
,,,,,,,,,,,,,,,,,
42,benchmark_4,arm_b,1,1024,300,success,yes,5590,3066,415,57,472,0,70476,1024,637,
,,,,,,,,,,,,,,,,,
44,benchmark_4,arm_b,2,1024,300,success,yes,10711,2203,415,55,470,0,70476,1024,637,
45,benchmark_4,arm_a,2,512,300,success,yes,5195,2140,413,52,465,0,33261,512,319,
